"","time","EL","LL","PL","SV","EV","IV"
"1",0,42250.1767015915,1119.18424871539,165.989506668949,1100.99925674183,36.2707658112727,17.4877876438339
"2",1,41552.0696171698,1118.02018449164,165.90671509519,1064.07084240474,35.5291167800865,16.3236874668809
"3",2,40805.7099270625,1116.46213272787,165.707658341335,1032.30116721521,34.754961051412,15.2807046317067
"4",3,40098.3580543674,1114.91471213788,165.481483327446,1004.90734992055,33.971474369096,14.3476023754611
"5",4,39455.822883499,1113.45707399096,165.259270343969,981.258986571511,33.1958774521884,13.5138871270704
"6",5,38882.225098925,1112.11486986299,165.051197039131,960.829036265149,32.4407471667452,12.7698510482722
"7",6,38374.1882600195,1110.89355540426,164.860315265329,943.169847671113,31.7150170139768,12.106564113353
"8",7,37926.0107385604,1109.79026840189,164.687054129166,927.898786390489,31.0247587264873,11.5158525713201
"9",8,37531.5348177724,1108.79835488549,164.530823993544,914.687497160333,30.3738163740643,10.9902581496373
"10",9,37184.8543473813,1107.91026249568,164.390595691262,903.254213120342,29.7642950151851,10.5230066849306
"11",10,36880.5257804049,1107.11771024719,164.265196493761,893.356632982149,29.1969591890919,10.1079980350673
"12",11,36613.6010335228,1106.41226408769,164.153407430114,884.785367715892,28.4491320608716,9.96211194901228
"13",12,36379.6678557067,1105.78601035259,164.054011601261,877.360869162751,27.8033743001832,9.79685492647765
"14",13,36174.7830548067,1105.2312905645,163.965842310414,870.927995015004,27.2455532038295,9.62037604862324
"15",14,35995.4432559229,1104.74075332934,163.887803061314,865.352976369463,26.7635638775898,9.43889198880263
"16",15,35838.5434105052,1104.30779486097,163.818851641948,860.520328488525,26.3470004273658,9.2570973383909
"17",16,35701.3398649493,1103.92637260241,163.758019271505,856.330418331745,25.9869146765684,9.07847629843627
"18",17,35581.4066823146,1103.59046380642,163.704455424409,852.697025847189,25.6755867241137,8.90555948836724
"19",18,35476.6118103482,1103.29528951676,163.657329668437,849.545858084355,25.4063828803729,8.74011342281641
"20",19,35385.0681969837,1103.03609507194,163.61592016375,846.812300087693,25.1735508214313,8.5833208917433
"21",20,35305.1231445274,1102.80874265622,163.579567179563,844.440694936674,24.9721493722422,8.43589139891175
"22",21,35235.3245093098,1102.60935572652,163.547691612931,842.382857122317,24.7979125953408,8.29818038540358
"23",22,35174.3975221026,1102.43469401753,163.519758124445,840.597046629898,24.6471571879955,8.170268293126
"24",23,35121.2256426145,1102.28193232249,163.4952837739,839.047165162336,24.5167061766173,8.05203262219221
"25",24,35074.8311715541,1102.148148132,163.473875914144,837.701950709832,24.4038176661818,7.94320086652285
"26",25,35034.3529061507,1102.03120149067,163.45514435906,836.534152937867,24.3061074036924,7.84339939164398
"27",26,34999.0402502339,1101.92895723984,163.438766410393,835.520262142423,24.2215244218683,7.75217878105685
"28",27,34968.2386392165,1101.83962107625,163.424451288218,834.639956597366,24.1483018834109,7.66904389153655
"29",28,34941.3755972502,1101.76158492985,163.411944670137,833.87561097009,24.0849118434291,7.59347635187745
"30",29,34917.9477406315,1101.69343475625,163.401020642609,833.211842171264,24.0300243799637,7.52495004779173
"31",30,34897.5180110933,1101.63393500603,163.391481785799,832.635396951128,23.9824974033365,7.46294171398509
"32",31,34879.7049288414,1101.58200198228,163.383154895995,832.134784904995,23.9413437940457,7.40694108228409
"33",32,34864.1733873706,1101.53667959107,163.375887122447,831.699974497012,23.9057041188088,7.35645601909439
"34",33,34850.6302542428,1101.49712828482,163.369544165382,831.322245312404,23.8748332742761,7.31101619091015
"35",34,34838.8234687006,1101.46262395859,163.364010110695,830.994144477079,23.8480965492494,7.27018131964035
"36",35,34828.5301745129,1101.43252455772,163.359182178983,830.709116469696,23.8249373013114,7.23353470079408
"37",36,34819.5566709043,1101.40627067713,163.354970785454,830.4614934185,23.8048757626853,7.20068912897792
"38",37,34811.7340919752,1101.38337358577,163.351297639825,830.246359102104,23.7874969816737,7.17128568311817
"39",38,34804.9149532045,1101.36340564484,163.348094224924,830.059440082354,23.7724412375353,7.14499298503749
"40",39,34798.9706529697,1101.34599336294,163.345300685204,829.897027326047,23.7593972744037,7.12150639164637
"41",40,34793.7891068593,1101.33081076286,163.34286476944,829.755902687816,23.7480959032993,7.10054680073484
"42",41,34789.2724937929,1101.31757300037,163.34074081436,829.633269417851,23.7383037171232,7.08185945259557
"43",42,34785.3355407075,1101.30603150389,163.338888965011,829.526699730998,23.7298187483227,7.06521231194622
"44",43,34781.9039229618,1101.29596941514,163.337274447183,829.434086100654,23.722466233353,7.0503946242098
"45",44,34778.9128527726,1101.28719754943,163.335866921104,829.353598617392,23.7160948493725,7.03721545991159
"46",45,34776.3056713052,1101.27955034013,163.334639832778,829.283642949716,23.7105731012149,7.02550177909134
"47",46,34774.0331654931,1101.27288389104,163.333570101148,829.22283959115,23.7057875607882,7.01509778040467
"48",47,34772.0524269062,1101.26707267281,163.332637590229,829.169990097532,23.7016399765458,7.00586307026916
"49",48,34770.3260518259,1101.26200720948,163.331824738034,829.124053454617,23.6980452526254,6.99767136285796
"50",49,34768.8214416168,1101.25759205081,163.331116231765,829.084125517703,23.6949297104935,6.99040922391725
"51",50,34767.5098603053,1101.25374302454,163.330498567752,829.049411773404,23.6922287498276,6.98397400382224
"52",51,34766.3666961719,1101.25038801778,163.329960175711,829.01923433488,23.689887438183,6.9782749580578
"53",52,34765.3703064926,1101.2474636001,163.32949087859,828.992998863593,23.6878577525744,6.973230329209
"54",53,34764.5019031363,1101.24491469418,163.329081839156,828.970191109151,23.6860982676764,6.96876726970239
"55",54,34763.7448631252,1101.24269255946,163.328725236863,828.950357422748,23.6845725268876,6.96481985516307
"56",55,34763.0851750979,1101.24075610629,163.328414478376,828.933116706722,23.6832500132912,6.96133107871896
"57",56,34762.5101546247,1101.23906813002,163.328143593877,828.918124910494,23.6821032529293,6.95824825776582
"58",57,34762.0089707252,1101.23759685823,163.327907484966,828.905089178667,23.6811089208674,6.95552538096514
"59",58,34761.5721476508,1101.23631449074,163.327701690641,828.893754037428,23.6802467310338,6.95312135628529
"60",59,34761.1914203309,1101.23519677681,163.327522319402,828.883897290366,23.6794990865813,6.95099962414808
"61",60,34760.8595906384,1101.23422259431,163.327365981763,828.875325975145,23.6788507577941,6.94912771069969
"62",61,34760.5703715302,1101.23337349316,163.327229716991,828.867872015517,23.6782885155564,6.94747672631129
"63",62,34760.3182914484,1101.23263341533,163.327110948187,828.861389542238,23.6778009090075,6.94602106745635
"64",63,34760.0985848732,1101.23198837404,163.327007430818,828.855751853877,23.6773780205008,6.94473803904607
"65",64,34759.9070934312,1101.23142616385,163.326917206202,828.850848681433,23.6770112458168,6.94360750141548
"66",65,34759.7401975009,1101.23093616017,163.326838569332,828.846584295891,23.6766931336048,6.94261163547321
"67",66,34759.5947446824,1101.23050910947,163.326770035218,828.842875540426,23.6764172315727,6.94173467184463
"68",67,34759.4679609831,1101.23013686869,163.326710297077,828.83964941346,23.6761778905904,6.94096253391607
"69",68,34759.3574581343,1101.22981242688,163.326658229792,828.836843238168,23.6759702731344,6.94028290394702
"70",69,34759.2611480941,1101.22952965425,163.326612849654,828.834402347093,23.675790172925,6.93968486015614
"71",70,34759.1772124918,1101.22928321258,163.326573299985,828.832279248865,23.6756339468591,6.9391587563866
"72",71,34759.1040485672,1101.2290683965,163.326538825663,828.830432175421,23.6754983980558,6.93869598449877
"73",72,34759.0402803161,1101.22888116629,163.326508778389,828.828825363615,23.6753807980704,6.93828904295243
"74",73,34758.9847044382,1101.22871798921,163.326482591221,828.827427608456,23.6752787733263,6.9379312901357
"75",74,34758.9362650112,1101.22857576515,163.326459766654,828.826211586316,23.6751902508079,6.93761682887197
"76",75,34758.8940442876,1101.22845179965,163.326439872272,828.825153604475,23.6751134374679,6.93734046976097
"77",76,34758.8572450725,1101.22834375217,163.326422532459,828.824233129232,23.6750467841865,6.93709764999613
"78",77,34758.8251715004,1101.22824957964,163.326407419341,828.823432275618,23.6749889455181,6.93688434135006
"79",78,34758.7972171067,1101.22816750147,163.326394247161,828.822735490041,23.6749387549014,6.93669699354771
"80",79,34758.7728530823,1101.22809596504,163.326382766754,828.822129239169,23.6748951998488,6.9365324775988
"81",80,34758.751617954,1101.22803361544,163.326372760679,828.821601737547,23.6748574008982,6.93638803429418
