"","time","EL","LL","PL","SV","EV","IV"
"1",0,664150.378376515,19300.6308861287,2862.53331644475,16330.2356868433,487.378095151907,178.677784395474
"2",1,650066.46688445,19273.0446143149,2860.59172157618,15604.9377597172,472.396836414916,162.129503469954
"3",2,634843.36214516,19234.6702321273,2855.74803827374,14999.8709929343,457.174037801049,147.774427357485
"4",3,620488.232347661,19196.2331109086,2850.15540408791,14493.4803288374,442.195155817136,135.338891047478
"5",4,607615.892178772,19160.0880681198,2844.64232338258,14068.8739805313,427.787641289797,124.578984844337
"6",5,596324.268239726,19127.0802704974,2839.50309248757,13712.38944284,414.162711551313,115.278856078008
"7",6,586524.983641457,19097.4296302326,2834.83557488983,13412.7842290516,401.446469516557,107.247920961745
"8",7,578069.65041765,19071.0652983641,2830.65783216238,13160.7820983279,389.701947515014,100.31915709204
"9",8,570799.094417816,19047.7995817458,2826.95362048976,12948.6586728435,378.947402432002,94.3459513904891
"10",9,564561.51619565,19027.3854770285,2823.69169927226,12769.9833137861,369.169133286726,89.2002106755683
"11",10,559219.056700549,19009.5550608308,2820.83476715017,12619.3945750442,360.331505529516,84.770418752159
"12",11,409857.003490143,18540.406378523,2786.12757929558,7015.87180385977,191.745463671712,37.3194139093751
"13",12,311546.2093057,17912.2093283633,2705.96484212864,4528.97163928545,104.291842416236,16.4377434383602
"14",13,244461.738075935,17255.7385647376,2612.40419065437,3393.09980586229,59.8436566939651,7.24815535384637
"15",14,197493.326200876,16594.1229856146,2515.04327654373,2844.80255123909,37.4913092136843,3.20378119967
"16",15,163873.238389606,15946.9841271526,2418.02513606535,2553.00903198501,26.2436668425797,1.42365508741374
"17",16,139302.34167174,15329.6319242281,2324.13066414047,2374.5487357952,20.4886052394233,0.639980820028221
"18",17,120981.050122645,14752.3015783999,2235.30933567146,2247.97817668312,17.4223165918646,0.29485076908281
"19",18,107053.300699722,14220.5259482594,2152.76640397479,2147.21161710602,15.6683130314898,0.142746923105201
"20",19,96269.4350141682,13736.1060254169,2077.07638930702,2061.27546745817,14.560607184668,0.0756209783572793
"21",20,87775.5094693505,13298.2228388469,2008.33682704161,1985.52096062538,13.7807560917966,0.0459201286105359
"22",21,80979.1506814427,12904.4244359807,1946.32306522515,1917.86151406171,13.1811011656144,0.0292472268949799
