"","time","EL","LL","PL","SV","EV","IV"
"1",0,664150.378376515,19300.6308861287,2862.53331644475,16330.2356868433,487.378095151907,178.677784395474
"2",1,650066.46688445,19273.0446143149,2860.59172157618,15604.9377597172,472.396836414916,162.129503469954
"3",2,634843.36214516,19234.6702321273,2855.74803827374,14999.8709929343,457.174037801049,147.774427357485
"4",3,620488.232347661,19196.2331109086,2850.15540408791,14493.4803288374,442.195155817136,135.338891047478
"5",4,607615.892178772,19160.0880681198,2844.64232338258,14068.8739805313,427.787641289797,124.578984844337
"6",5,596324.268239726,19127.0802704974,2839.50309248757,13712.38944284,414.162711551313,115.278856078008
"7",6,586524.983641457,19097.4296302326,2834.83557488983,13412.7842290516,401.446469516557,107.247920961745
"8",7,578069.65041765,19071.0652983641,2830.65783216238,13160.7820983279,389.701947515014,100.31915709204
"9",8,570799.094417816,19047.7995817458,2826.95362048976,12948.6586728435,378.947402432002,94.3459513904891
"10",9,564561.51619565,19027.3854770285,2823.69169927226,12769.9833137861,369.169133286726,89.2002106755683
"11",10,559219.056700549,19009.5550608308,2820.83476715017,12619.3945750442,360.331505529516,84.770418752159
"12",11,383569.362318873,18433.3055072456,2778.2928447374,7646.45921020465,211.267088898057,41.1779952857734
"13",12,280701.222676355,17684.030454687,2681.63793938159,5203.09855036143,125.932010027381,20.0233750166327
"14",13,214135.157407054,16911.4087474262,2570.84411589528,3964.97079705766,78.04380871693,9.7567963400379
"15",14,168434.063723957,16129.1817150383,2455.98324209691,3304.45180891603,51.4443295513679,4.77377850637435
"16",15,135791.923638228,15349.998868787,2340.27748539177,2921.56032931909,36.6714582729356,2.35476166550994
"17",16,111785.374443081,14585.7351805039,2225.77435255211,2672.85294131858,28.3581366429276,1.18006208682128
"18",17,93711.9418081463,13846.3592595863,2114.13742220358,2490.10816454004,23.5300346517422,0.609297604643911
"19",18,79832.9610618363,13139.4107338611,2006.68370312242,2341.21597602112,20.5687469678132,0.331706415650736
"20",19,68987.49264316,12469.9641413896,1904.36554943013,2211.29610230357,18.6071306079132,0.196474689072077
"21",20,60378.2431936736,11840.8868431457,1807.7884812484,2093.58563149012,17.1868572272568,0.130405428962144
"22",21,53445.2600725739,11253.2358317702,1717.25843399137,1985.060724869,16.0769152117053,0.0896677664554962
