"","time","EL","LL","PL","SV","EV","IV"
"1",0,664150.378376515,19300.6308861287,2862.53331644475,16330.2356868433,487.378095151907,178.677784395474
"2",1,650066.46688445,19273.0446143149,2860.59172157618,15604.9377597172,472.396836414916,162.129503469954
"3",2,634843.36214516,19234.6702321273,2855.74803827374,14999.8709929343,457.174037801049,147.774427357485
"4",3,620488.232347661,19196.2331109086,2850.15540408791,14493.4803288374,442.195155817136,135.338891047478
"5",4,607615.892178772,19160.0880681198,2844.64232338258,14068.8739805313,427.787641289797,124.578984844337
"6",5,596324.268239726,19127.0802704974,2839.50309248757,13712.38944284,414.162711551313,115.278856078008
"7",6,586524.983641457,19097.4296302326,2834.83557488983,13412.7842290516,401.446469516557,107.247920961745
"8",7,578069.65041765,19071.0652983641,2830.65783216238,13160.7820983279,389.701947515014,100.31915709204
"9",8,570799.094417816,19047.7995817458,2826.95362048976,12948.6586728435,378.947402432002,94.3459513904891
"10",9,564561.51619565,19027.3854770285,2823.69169927226,12769.9833137861,369.169133286726,89.2002106755683
"11",10,559219.056700549,19009.5550608308,2820.83476715017,12619.3945750442,360.331505529516,84.770418752159
"12",11,381033.495678521,18425.8708887588,2777.9971947989,4921.3462391069,127.639959508748,24.7520392421498
"13",12,274007.6116878,17638.7406383936,2677.89024910397,2648.90005543142,47.5980147001649,7.22747434226056
"14",13,205183.326324431,16809.3817151638,2560.20733656183,1938.61024334935,20.5704743451331,2.11052822646976
"15",14,158581.253536144,15960.8913861983,2436.35890985529,1677.6905635339,11.4525328292454,0.616442822182556
"16",15,125702.733227406,15110.1122475799,2310.51488718651,1545.74020181374,8.26217927066085,0.180185425374413
"17",16,101726.266195728,14270.17953045,2185.1422369136,1451.04796127308,7.0032765271115,0.052799758849259
"18",17,83766.0282445855,13451.2147731659,2062.02734305425,1367.8872321163,6.36775530344254,0.015601140412267
"19",18,70012.2458063721,12660.8409898938,1942.51418660243,1289.46366913596,5.93500744325016,0.00473654028156973
"20",19,59283.0807165668,11904.5620617789,1827.59576152765,1214.30972206945,5.57275299593348,0.00156150862008229
"21",20,50779.6601398055,11186.0686113527,1717.96963258926,1142.36313586849,5.24091150814679,0.000632175514329905
"22",21,43946.0869661748,10507.516077735,1614.08245683817,1073.84950794077,4.92832475331069,0.000286856840654885
