"","time","EL","EL_LAR","EL_BIO","EL_LAR_BIO","LL","LL_LAR","LL_BIO","LL_LAR_BIO","PL","SV","EV","IV","SH","IH","Mm","EIR","VC","R0"
"1",0,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,23607.7480438035,10,1.39722374429224,1.7465296803653
"2",1,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,7253.49499198269,10,1.39722374429224,1.7465296803653
"3",2,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,3407.36396044926,10,1.39722374429224,1.7465296803653
"4",3,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2502.78332387152,10,1.39722374429224,1.7465296803653
"5",4,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2290.03339546397,10,1.39722374429224,1.7465296803653
"6",5,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2240.00903833703,10,1.39722374429224,1.7465296803653
"7",6,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2228.23628828648,10,1.39722374429224,1.7465296803653
"8",7,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2225.46929666896,10,1.39722374429224,1.7465296803653
"9",8,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633461,231.526143160332,1186.9918699187,813.008130081301,2224.81685962391,10,1.39722374429224,1.7465296803653
"10",9,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.66603080023,10,1.39722374429224,1.7465296803653
"11",10,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.62800726603,10,1.39722374429224,1.7465296803653
"12",11,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.6201366986,10,1.39722374429224,1.7465296803653
"13",12,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.618993402,10,1.39722374429224,1.7465296803653
"14",13,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.61885572258,10,1.39722374429224,1.7465296803653
"15",14,1189743.99628768,0,0,0,49601.0365679154,0,0,0,4121.39896700585,23607.7480438035,631.53217963346,231.526143160332,1186.9918699187,813.008130081301,2224.61879951636,10,1.39722374429224,1.7465296803653
"16",15,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61877667887,10,1.39722374429224,1.7465296803653
"17",16,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876724108,10,1.39722374429224,1.7465296803653
"18",17,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876334291,10,1.39722374429224,1.7465296803653
"19",18,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.6187617328,10,1.39722374429224,1.7465296803653
"20",19,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876106775,10,1.39722374429224,1.7465296803653
"21",20,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876079306,10,1.39722374429224,1.7465296803653
"22",21,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876067959,10,1.39722374429224,1.7465296803653
"23",22,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876063273,10,1.39722374429224,1.7465296803653
"24",23,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876061337,10,1.39722374429224,1.7465296803653
"25",24,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876060538,10,1.39722374429224,1.7465296803653
"26",25,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876060208,10,1.39722374429224,1.7465296803653
"27",26,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876060071,10,1.39722374429224,1.7465296803653
"28",27,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876060015,10,1.39722374429224,1.7465296803653
"29",28,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059992,10,1.39722374429224,1.7465296803653
"30",29,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700586,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059982,10,1.39722374429224,1.7465296803653
"31",30,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059978,10,1.39722374429224,1.7465296803653
"32",31,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059976,10,1.39722374429224,1.7465296803653
"33",32,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059976,10,1.39722374429224,1.7465296803653
"34",33,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"35",34,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"36",35,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"37",36,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"38",37,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"39",38,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"40",39,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"41",40,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"42",41,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"43",42,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"44",43,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"45",44,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"46",45,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"47",46,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"48",47,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"49",48,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"50",49,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"51",50,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"52",51,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"53",52,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"54",53,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"55",54,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"56",55,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
"57",56,1189743.99628768,0,0,0,49601.0365679155,0,0,0,4121.39896700585,23607.7480438035,631.532179633459,231.526143160332,1186.9918699187,813.008130081301,2224.61876059975,10,1.39722374429224,1.7465296803653
