"ITN","HOU","PPM","ATSB","IRS","LAR","ECT","R0"
0.8,0,0,0,0,0,0,0.00239446619552045
0.5,0,0,0,0,0,0,0.0194845909059054
0.5,0,0,0,0,0,0.4,0.0165136442204294
0.5,0,0,0,0,0.8,0,2.03579933748324e-08
0.5,0,0,0,0,0.8,0.4,3.12241088680039e-09
0.5,0,0,0,0.8,0,0,1.77724557170835e-05
0.5,0,0,0,0.8,0,0.4,1.23183765429179e-05
0.5,0,0,0,0.8,0.8,0,1.02785483462298e-23
0.5,0,0,0,0.8,0.8,0.4,2.10916562227353e-24
0.5,0,0,0.4,0,0,0,0.0120451160318932
0.5,0,0,0.4,0,0,0.4,0.0103156627107986
0.5,0,0,0.4,0,0.8,0,1.50049899514204e-09
0.5,0,0,0.4,0,0.8,0.4,2.55428107851939e-10
0.5,0,0,0.4,0.8,0,0,1.21002162397612e-05
0.5,0,0,0.4,0.8,0,0.4,8.34297367525409e-06
0.5,0,0,0.4,0.8,0.8,0,4.34953569820335e-24
0.5,0,0,0.4,0.8,0.8,0.4,1.07471794928208e-24
0.5,0,0.5,0,0,0,0,0.000806950342375177
0.5,0,0.5,0,0,0,0.4,0.000667478497636738
0.5,0,0.5,0,0,0.8,0,1.15074494791405e-17
0.5,0,0.5,0,0,0.8,0.4,2.72235048294617e-18
0.5,0,0.5,0,0.8,0,0,2.3832954669891e-06
0.5,0,0.5,0,0.8,0,0.4,1.30837030612091e-06
0.5,0,0.5,0,0.8,0.8,0,1.12250102873492e-25
0.5,0,0.5,0,0.8,0.8,0.4,1.8239871075153e-26
0.5,0,0.5,0.4,0,0,0,0.000542493807532171
0.5,0,0.5,0.4,0,0,0.4,0.000450506868509526
0.5,0,0.5,0.4,0,0.8,0,2.92612554912873e-18
0.5,0,0.5,0.4,0,0.8,0.4,7.3594427430739e-19
0.5,0,0.5,0.4,0.8,0,0,1.58622850296879e-06
0.5,0,0.5,0.4,0.8,0,0.4,8.43348470380043e-07
0.5,0,0.5,0.4,0.8,0.8,0,5.44655362379755e-26
0.5,0,0.5,0.4,0.8,0.8,0.4,1.01112708777617e-26
0.5,0.4,0,0,0,0,0,0.000554272843786793
0.5,0.4,0,0,0,0,0.4,0.000462225606506959
0.5,0.4,0,0,0,0.8,0,2.22992552095208e-18
0.5,0.4,0,0,0,0.8,0.4,6.17832670539738e-19
0.5,0.4,0,0,0.8,0,0,1.53403797053521e-27
0.5,0.4,0,0,0.8,0.8,0,4.54006092694153e-33
0.5,0.4,0,0.4,0,0,0,0.000375471175131405
0.5,0.4,0,0.4,0,0,0.4,0.000314111138672558
0.5,0.4,0,0.4,0,0.8,0,6.42869716774394e-19
0.5,0.4,0,0.4,0,0.8,0.4,1.8621651418761e-19
0.5,0.4,0,0.4,0.8,0,0,1.7110029904282e-27
0.5,0.4,0,0.4,0.8,0.8,0,8.94829478273788e-34
0.5,0.4,0.5,0,0,0,0,3.78950663080141e-05
0.5,0.4,0.5,0,0,0,0.4,2.87554394663324e-05
0.5,0.4,0.5,0,0,0.8,0,8.77677854819382e-23
0.5,0.4,0.5,0,0,0.8,0.4,2.22582117653559e-23
0.5,0.4,0.5,0,0.8,0,0,1.89795457921476e-14
0.5,0.4,0.5,0,0.8,0,0.4,9.13065339601078e-19
0.5,0.4,0.5,0,0.8,0.8,0,2.58857628415294e-30
0.5,0.4,0.5,0,0.8,0.8,0.4,1.6906452020359e-31
0.5,0.4,0.5,0.4,0,0,0,2.60123746839284e-05
0.5,0.4,0.5,0.4,0,0,0.4,1.97191956203951e-05
0.5,0.4,0.5,0.4,0,0.8,0,3.72903672018027e-23
0.5,0.4,0.5,0.4,0,0.8,0.4,9.74314079343393e-24
0.5,0.4,0.5,0.4,0.8,0,0,5.54487477465444e-15
0.5,0.4,0.5,0.4,0.8,0,0.4,3.28408314926112e-19
0.5,0.4,0.5,0.4,0.8,0.8,0,1.50658311948508e-30
0.5,0.4,0.5,0.4,0.8,0.8,0.4,5.94372640245103e-32
