epsilon0,species,OVIcov,time_OVI_on,FOGcov,time_FOG_on,LARcov,time_LAR_on,BIOcov,time_BIO_on,SREcov,time_SRE_on,IRScov,time_IRS_on,ITNcov,time_ITN_on,ECScov,time_ECS_on,ECTcov,time_ECT_on,HOUcov,time_HOU_on,OBTcov,time_OBT_on,SPRcov,time_SPR_on,PPMcov,time_PPM_on,ATSBcov,time_ATSB_on,SSPcov,time_SSP_on
10,1,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,50,0.05,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
