Life Cycle Parameters,Value,Description
beta,21.19,Number of eggs laid per day per female mosquito
muEL,0.034,Early larval instar daily mortality
muLL,0.035,Late larvarl instar daily mortality
muPL,0.25,Pupal daily mortality
durEL,6.64,Duration of early instar stage
durLL,3.72,Duration of late instar stage
durPL,0.64,Duration of pupal stage
durEV,10,Duration of latent period in mosquito (days)
gamma,13.25,Effect of density-dependence on late instars relative to early instars
tau1,0.68,Time spent foraginf for a blood meal at 0% ITN coverage
tau2,2.32,Time spent resting and ovipositing by a mosquito
Species-Specific Parameters,Value,Description
muV,0.112359551, Adult mosquito daily mortality
Q0,0.94, Human blood index
phiB,0.9, Proportion of bites on a person while they are in bed
phiI,0.98, Proportion of bites on a person while they are indoors
rOVI,0,Repellance probability
sOVI,0,Successful feeding probability
fOVI,0,Death rate factor of increase
rFOG,0,Repellance probability
sFOG,0,Successful feeding probability
rLAR,0,Repellance probability
sLAR,0,Successful feeding probability
fLAR,0,Death rate factor of increase
rBIO,0,Repellance probability
sBIO,0,Successful feeding probability
fBIO,0,Death rate factor of increase
rSRE,0,Repellance probability
sSRE,0,Successful feeding probability
eSRE,0,Death rate factor of increase
rIRS,0,Repellance probability
sIRS,0,Successful feeding probability
dIRS,0,Death probability
rITN,0,Repellance probability
sITN,0,Successful feeding probability
rECS,0,Repellance probability
sECS,0,Successful feeding probability
rHOU,0,Repellance probability
sHOU,0,Successful feeding probability
dHOU,0,Death probability
rSPR,0,Repellance probability
sSPR,0,Successful feeding probability
rECT,0,Repellance probability
sECT,0,Successful feeding probability
rPPM,0,Repellance probability
sPPM,0,Successful feeding probability
aOBT,0,Availability of one odor baited trap in relation to one human
fSSP,0,Death rate factor of increase
fATSB,0,Death rate factor of increase
Interventions Parameters,Value,Description
OVIcov,0,Coverage
time_OVI_on,0,Time in which the intervention is first applied
FOGcov,0,Coverage
time_FOG_on,0,Time in which the intervention is first applied
LARcov,0,Coverage
time_LAR_on,0,Time in which the intervention is first applied
BIOcov,0,Coverage
time_BIO_on,0,Time in which the intervention is first applied
IRScov,0,Coverage
time_IRS_on,0,Time in which the intervention is first applied
ITNcov,0,Coverage
time_ITN_on,0,Time in which the intervention is first applied
ECScov,0,Coverage
time_ECS_on,0,Time in which the intervention is first applied
ECTcov,0,Coverage
time_ECT_on,0,Time in which the intervention is first applied
HOUcov,0,Coverage
time_HOU_on,0,Time in which the intervention is first applied
OBTcov,0,Coverage
time_OBT_on,0,Time in which the intervention is first applied
PPMcov,0,Coverage
time_PPM_on,0,Time in which the intervention is first applied
ATSBcov,0,Coverage
time_ATSB_on,0,Time in which the intervention is first applied
SSPcov,0,Coverage
time_SSP_on,0,Time in which the intervention is first applied
SREcov,0,Coverage
time_SRE_on,0,Time in which the intervention is first applied
SPRcov,0,Coverage
time_SPR_on,0,Time in which the intervention is first applied
Transmission Parameters,Value,Description
f0,0.33333, Daily biting rate by mosquitoes on animals and humans
epsilon0,0.02739726, Daily entomological inolculation rate
iH_eq,0.35, Equilibrium malaria prevalence in humans
NH_eq,200, Equilibrium human population size
bV,0.05, Probability of transmission from human to vector per infectious bite
bh,0.5,Transmission efficiency from an infectious mosquito to an uninfected susceptible human
