OVIcov, Ovitraps coverage
time_OVI_on, When Ovitraps are applied (days)
FOGcov, Fogging coverage
time_FOG_on, When Fogging is applied (days)
LARcov, Larvacide coverage
time_LAR_on, When Larvacide is applied (days)
BIOcov, Biological Control coverage
time_BIO_on, When Biological Control is applied (days)
SREcov, Source Reduction coverage
time_SRE_on, When Source Reduction is applied (days)
IRScov, IRS coverage
time_IRS_on, When IRSs are applied (days)
ITNcov, ITN coverage
time_ITN_on, When ITNs are applied (days)
ECScov, endocticide coverage (systemic applied)
time_ECS_on, When endocticide is (systemic) applied (days)
ECTcov, endocticide coverage (topical applied)
time_ECT_on, When endocticide is (topical) applied (days)
HOUcov, House Modification coverage
time_HOU_on, When House Modifications are applied (days)
OBTcov, Odor Traps coverage (ratio of traps to human)
time_OBT_on, When Odor Traps are applied (days)
SPRcov, Spatial Repellents coverage
time_SPR_on, When Spatial Repellents are applied (days)
time_ATSB_on, When ATSB are applied (days)
ATSBcov, ATSB coverage
time_SSP_on, When Space spraying are applied (days)
SSPcov, Space spraying coverage
aOBT, availability of one odor baited trap in relation to one human
SPRcov, Spatial Repellents coverage
time_SPR_on, When Space Repellents are applied (days)
PPMcov
time_PPM_on
muV, Adult mosquito daily mortality
Q0, Human blood index
phiB, Proportion of bites on a person while they are in bed
phiI, Proportion of bites on a person while they are indoors
rOVI
sOVI
rFOG
sFOG
rLAR
sLAR
rBIO
sBIO
rSRE
sSRE
rSPR, Probability of mosquito repeating a feeding attempt due to spatial repelent
sSPR, Probability of mosquito feeding succesfully in presence to spatial repelent
rPPM, Probability of mosquito repeating a feeding attempt due to personal protection measures
sPPM, Probability of mosquito feeding succesfully in presence to personal protection measures
rIRS, Probability of mosquito repeating a feeding attempt due to IRS
sIRS, Probability of mosquito feeding and surviving in presence of IRS
rITN, Probability of mosquito repeating a feeding attempt due to IRS
sITN, Probability of mosquito feeding and surviving in presence of ITN
rECT, Probability of mosquito repeating a feeding attempt due to instecide (topical) treated cattle
sECT, Probability of mosquito feeding and surviving in presence of instecide (topical) treated cattle
rECS, Probability of mosquito repeating a feeding attempt due to instecide (systemic) treated cattle
sECS, Probability of mosquito feeding and surviving in presence of instecide (systemic) treated cattle
dHOU, Death due to encountering mosquito proofed housing
dIRS, Death due to encountering IRS treated house
aOBT, availability of one odor baited trap in relation to one human
eSRE, effectiveness of the impact of source reduction in K
fATSB factor allowing for increased mosquito death due to ATBS
fLAR factor allowing for increased mosquito death due to larvaciding
fBIO factor allowing for increased mosquito death due to biological control
fSSP factor allowing for increased mosquito death due to space spraying
fOVI factor allowing for increased mosquito death due to space spraying
rHOU
sHOU
beta, Number of eggs laid per day per female mosquito
muEL, Early larval instar daily mortality
muLL, Late larvarl instar daily mortality
muPL, Pupal daily mortality
durEL, Duration of early instar stage
durLL, Duration of late instar stage
durPL, Pupal daily mortality
durPL, Duration of pupal stage
durEV, Duration of latent period in mosquito (days)
gamma, Effect of density-dependence on late instars relative to early instars
tau1, Time spent foraginf for a blood meal at 0% ITN coverage
tau2, Time spent resting and ovipositing by a mosquito
f0, Daily biting rate by mosquitoes on animals and humans
epsilon0, Daily entomological inolculation rate
iH_eq, Equilibrium malaria prevalence in humans
NH_eq, Equilibrium human population size
bV, Probability of transmission from human to vector per infectious bite
bh," transmission efficiency from an infectious mosquito to an uninfected, susceptible human"
